sub_name,gender,age,self_accuracy,self_precision,self_recall,cross_accuracy,cross_precision,cross_recall,n_feat,session,suc_other_act,suc_other_int,suc_other_sit,suc_self_act,suc_self_int,suc_self_sit
sub001,F,22,0.5166666667,0.5158312448,0.5166666667,0.4,0.3232876712,0.4,568.30724,2,80,70,90,90,80,90
sub002,F,22,0.5916666667,0.585978836,0.5916666667,0.4222222222,0.297979798,0.4222222222,434.86073,1,80,60,90,90,90,70
sub003,F,20,0.4916666667,0.4923983217,0.4916666667,0.3333333333,0.3486111111,0.3333333333,427.8738,1,80,70,90,70,70,90
sub004,F,24,0.575,0.5761508951,0.575,0.4,0.4262820513,0.4,404.58417,2,70,80,90,90,70,70
sub005,M,23,0.625,0.6239368547,0.625,0.3777777778,0.3156998557,0.3777777778,622.54178,1,80,50,80,70,80,60
sub006,M,21,0.5083333333,0.5074942673,0.5083333333,0.4,0.4558823529,0.4,608.75044,2,90,70,80,90,80,80
sub007,M,21,0.675,0.679192664,0.675,0.4888888889,0.5490421456,0.4888888889,822.7282,1,80,60,90,90,80,80
sub008,F,24,0.5666666667,0.5696336184,0.5666666667,0.3444444444,0.2803921569,0.3444444444,630.69591,2,100,80,100,80,70,90
sub009,F,22,0.425,0.4253550543,0.425,0.3555555556,0.3822222222,0.3555555556,410.07722,1,70,60,80,90,70,80
sub010,M,23,0.5666666667,0.5664021164,0.5666666667,0.4888888889,0.6577015979,0.4888888889,787.70395,2,80,80,80,60,70,80
sub011,F,22,0.5583333333,0.5665546846,0.5583333333,0.3777777778,0.40173454,0.3777777778,445.07141,1,90,70,100,90,80,70
sub012,M,21,0.6083333333,0.6081665624,0.6083333333,0.3888888889,0.4281521959,0.3888888889,692.89609,2,80,80,100,100,100,100
sub013,F,19,0.5583333333,0.5629908104,0.5583333333,0.3666666667,0.3201172693,0.3666666667,460.2533,1,80,70,100,80,90,100
