	Contrast	cluster	k cluster	max cluster	x	y	z	Region	k region	max region
0	act>int	1.0	21936	5.515454292297363	54	-24	44	R. Lateral occipital cortex superior	2735	5.4176435470581055
0								L. Lateral occipital cortex inferior	2057	5.406064510345459
1								L. Lateral occipital cortex superior	1759	5.50233268737793
2								R. Lateral occipital cortex inferior	1710	5.300505638122559
3								R. Postcentral gyrus	1133	5.515454292297363
4								R. Supramarginal gyrus anterior	1016	5.515454292297363
5								R. Medial temporal gyrus temporo-occipital	974	5.457067489624023
6								R. Superior parietal lobule	973	5.253145217895508
7								L. Postcentral gyrus	866	4.449808120727539
8								R. Temporo-occipital fusiform	849	4.664408206939697
9								L. Precentral gyrus	833	4.30719518661499
10								R. Supramarginal gyrus posterior	672	5.334743976593018
11								R. Inferior temporal gyrus temporo-occipital	669	5.457067489624023
12								L. Temporo-occipital fusiform	627	4.949403285980225
13								L. Superior parietallobule	543	5.083497047424316
14								R. Precuneous	493	4.9314165115356445
15								L. Supramarginal gyrus anterior	442	4.449808120727539
16								R. Angular gyrus	405	4.7546186447143555
17								L. Occipital fusiform	389	4.837710857391357
18								L. Inferior temporal gyrus temporo-occipital	352	5.406064510345459
19								R. Temporal fusiform posterior	340	3.835164785385132
20								L. Medial temporal gyrus temporo-occipital	308	5.280606269836426
21								L. Occipital pole	297	4.194687366485596
22								L. Precuneous	291	4.233388900756836
23								L. Temporal fusiform posterior	247	4.182394027709961
24								L. Medial frontal gyrus	169	4.17791223526001
25								R. Occipital pole	150	3.7535367012023926
26								R. Occipital fusiform	145	4.245735168457031
27								L. Angular gyrus	118	4.13177490234375
28								L. Superior frontal gyrus	66	3.5974533557891846
29								R. Lingual gyrus	63	3.298309803009033
30								R. Parietal operculum	62	3.7139511108398438
31								R. Parahippocampal gyrus posterior	61	3.5045974254608154
32								R. Inferior temporal gyrus posterior	47	3.6475837230682373
33								R. Posterior cingulate cortex	21	3.4245641231536865
34										
