	Contrast	cluster	k cluster	max cluster	x	y	z	Region	k region	max region
0	act>int	1.0	1406	3.827601671218872	46	-58	16	R. Angular gyrus	720	3.827601671218872
0								R. Medial temporal gyrus temporo-occipital	379	3.7630209922790527
1								R. Lateral occipital cortex superior	244	3.569174289703369
2								R. Supramarginal gyrus posterior	121	3.7782599925994873
3								R. Lateral occipital cortex inferior	28	3.0471012592315674
4										
0		2.0	1056	4.457371234893799	-50	-54	10	L. Angular gyrus	302	4.340311527252197
0								L. Medial temporal gyrus temporo-occipital	271	4.457371234893799
1								L. Lateral occipital cortex inferior	263	4.109211444854736
2								L. Lateral occipital cortex superior	239	4.307826995849609
3								L. Supramarginal gyrus posterior	39	3.207507848739624
4										
0		3.0	841	4.210800647735596	26	2	44	R. Superior frontal gyrus	661	4.051111698150635
0								R. Medial frontal gyrus	94	3.309382677078247
1								R. Precentral gyrus	29	3.021747589111328
2										
0		4.0	624	3.951413631439209	-26	8	64	L. Superior frontal gyrus	426	3.951413631439209
0								L. Medial frontal gyrus	81	3.6103687286376953
1								L. Precentral gyrus	80	3.449366569519043
2										
0	int>act	1.0	1331	4.351086616516113	-56	-10	12	L. Central operculum	522	4.351086616516113
0								L. Precentral gyrus	268	4.141843318939209
1								L. Postcentral gyrus	188	3.956205368041992
2								L. Insula	171	3.83974289894104
3								L. Planum temporale	107	3.4868972301483154
4								L. Parietal operculum	86	3.4868972301483154
5								L. Planum polare	61	4.172370910644531
6								L. Heschls gyrus	28	3.3790221214294434
7										
0		2.0	1009	4.3748297691345215	52	-2	14	R. Central operculum	392	4.3748297691345215
0								R. Precentral gyrus	159	3.855499744415283
1								R. Postcentral gyrus	100	3.870664119720459
2								R. Planum polare	79	3.573827028274536
3								R. Insula	61	3.1691462993621826
4								R. Heschls gyrus	39	3.7260031700134277
5								R. Planum temporale	27	2.936260461807251
6										
0		3.0	475	3.7881946563720703	52	-28	14	R. Parietal operculum	184	3.5929341316223145
0								R. Planum temporale	125	3.7881946563720703
1								R. Insula	121	3.2803237438201904
2								R. Heschls gyrus	70	3.3210628032684326
3								R. Central operculum	27	3.1333937644958496
4										
0	act>sit	1.0	4732	5.610431671142578	60	-32	36	R. Supramarginal gyrus anterior	996	5.610431671142578
0								R. Supramarginal gyrus posterior	836	5.502252101898193
1								R. Postcentral gyrus	554	4.858081817626953
2								R. Parietal operculum	358	5.246791362762451
3								R. Superior parietal lobule	296	4.748139381408691
4								R. Posterior cingulate cortex	235	4.704641342163086
5								R. Precentral gyrus	226	4.630209445953369
6								R. Planum temporale	173	4.267118453979492
7								R. Superior temporal gyrus posterior	84	3.859915256500244
8								R. Precuneous	67	4.704641342163086
9								R. Angular gyrus	60	3.613412380218506
10								R. Central operculum	60	4.441961765289307
11								L. Posterior cingulate cortex	52	4.034276008605957
12										
0		2.0	4609	6.052415370941162	-54	-36	26	L. Supramarginal gyrus anterior	1258	5.8890838623046875
0								L. Postcentral gyrus	924	5.330219745635986
1								L. Parietal operculum	441	6.052415370941162
2								L. Superior parietallobule	419	4.571788311004639
3								L. Supramarginal gyrus posterior	404	5.283439636230469
4								L. Planum temporale	198	4.546304225921631
5								L. Precuneous	145	4.507748603820801
6								L. Central operculum	134	4.966684818267822
7								L. Posterior cingulate cortex	129	4.517594337463379
8								L. Precentral gyrus	76	4.517594337463379
9										
0		3.0	2389	5.2544331550598145	52	4	12	R. Precentral gyrus	510	5.2544331550598145
0								R. Insula	502	4.871288776397705
1								R. Central operculum	426	4.871288776397705
2								R. Putamen	307	3.935533285140991
3								R. Inferior frontal gyrus parsopercularis	292	5.117633819580078
4								R. Planum polare	202	4.358067035675049
5								R. Heschls gyrus	77	4.444726467132568
6								R. Frontal operculum	47	3.4468164443969727
7										
0		4.0	2268	5.325655937194824	-48	6	8	L. Precentral gyrus	628	5.325655937194824
0								L. Insula	508	4.972621917724609
1								L. Central operculum	475	5.325655937194824
2								L. Planum polare	259	4.972621917724609
3								L. Inferior frontal gyrus parsopercularis	243	4.9191083908081055
4								L. Heschls gyrus	91	4.109078407287598
5								L. Putamen	38	3.197256326675415
6								L. Frontal operculum	34	3.602160930633545
7										
0		5.0	2145	5.056331634521484	0	2	42	L. Supplementary motor area	386	4.9203619956970215
0								L. Anterior cingulate cortex	359	5.056331634521484
1								L. Superior frontal gyrus	342	3.8958888053894043
2								R. Anterior cingulate cortex	296	5.056331634521484
3								L. Precentral gyrus	282	4.384186267852783
4								R. Supplementary motor area	232	4.919658660888672
5								R. Superior frontal gyrus	96	3.2657763957977295
6								L. Medial frontal gyrus	79	3.6350009441375732
7								R. Medial frontal gyrus	31	3.154326915740967
8								L. Paracingulate gyrus	23	4.40826940536499
9										
0		6.0	1837	5.39144229888916	50	42	8	R. Frontal pole	1427	5.39144229888916
0								R. Medial frontal gyrus	134	3.8586034774780273
1								R. Inferior frontal gyrus parstriangularis	124	4.565706729888916
2										
0		7.0	1468	4.941713333129883	-50	46	10	L. Frontal pole	1004	4.941713333129883
0								L. Medial frontal gyrus	247	4.400758266448975
1								L. Inferior frontal gyrus parstriangularis	74	4.249428749084473
2										
0		8.0	1239	4.870719909667969	-52	-60	0	L. Lateral occipital cortex inferior	585	4.808950901031494
0								L. Medial temporal gyrus temporo-occipital	417	4.870719909667969
1								L. Lateral occipital cortex superior	64	4.380588531494141
2								L. Angular gyrus	39	4.380588531494141
3								L. Inferior temporal gyrus temporo-occipital	35	4.000843048095703
4										
0		9.0	943	4.480844974517822	60	-60	2	R. Medial temporal gyrus temporo-occipital	645	4.480844974517822
0								R. Lateral occipital cortex inferior	143	4.480844974517822
1								R. Inferior temporal gyrus temporo-occipital	28	3.403677463531494
2										
0		10.0	66	3.6202280521392822	-28	26	28	L. Medial frontal gyrus	4	2.8991730213165283
0										
0		11.0	49	3.496675729751587	-36	-16	38	L. Postcentral gyrus	22	3.4166784286499023
0										
0	sit>act	1.0	13195	5.969594478607178	-2	-40	36	L. Lingual gyrus	1457	4.801220893859863
0								L. Precuneous	1312	5.962738037109375
1								R. Lingual gyrus	1175	4.81936502456665
2								R. Precuneous	922	4.94396448135376
3								L. Posterior cingulate cortex	744	5.969594478607178
4								R. Intracalcarine cortex	742	4.81936502456665
5								L. Occipital fusiform	709	4.347673416137695
6								L. Lateral occipital cortex superior	660	4.135505199432373
7								L. Intracalcarine cortex	651	4.663161277770996
8								L. Hippocampus	607	4.37048864364624
9								R. Posterior cingulate cortex	562	5.2137603759765625
10								L. Temporo-occipital fusiform	540	4.541028022766113
11								L. Occipital pole	409	4.475609302520752
12								R. Temporo-occipital fusiform	404	4.108641147613525
13								R. Occipital fusiform	346	4.108641147613525
14								L. Parahippocampal gyrus posterior	307	4.695388317108154
15								R. Parahippocampal gyrus posterior	224	4.276956081390381
16								R. Lateral occipital cortex superior	222	3.353482246398926
17								L. Temporal fusiform posterior	220	4.6568427085876465
18								R. Hippocampus	209	3.57171893119812
19								R. Temporal fusiform posterior	191	4.276956081390381
20								L. Lateral occipital cortex inferior	190	3.8656203746795654
21								L. Parahippocampal gyrus anterior	113	3.6914584636688232
22								R. Lateral occipital cortex inferior	108	3.262540578842163
23								L. Supracalcarine cortex	95	3.735126495361328
24								L. Amygdala	75	3.4597928524017334
25								R. Occipital pole	73	3.1694908142089844
26								L. Cuneal cortex	50	3.73461651802063
27								L. Thalamus	50	3.485560655593872
28								R. Supracalcarine cortex	49	3.8239693641662598
29								R. Cuneal cortex	36	3.7025399208068848
30								R. Parahippocampal gyrus anterior	30	3.0273616313934326
31										
0		2.0	7062	6.219587326049805	-12	52	40	L. Frontal pole	1932	6.219587326049805
0								L. Superior frontal gyrus	1223	5.532459259033203
1								R. Frontal pole	1024	5.452587604522705
2								L. Paracingulate gyrus	480	4.559146404266357
3								R. Superior frontal gyrus	280	5.041215419769287
4								L. Frontal medial cortex	254	4.711863994598389
5								R. Frontal medial cortex	132	4.620828151702881
6								R. Paracingulate gyrus	118	4.472830295562744
7								L. Supplementary motor area	85	4.566391468048096
