Conjunction,cluster,k cluster,max cluster,x,y,z,Region,k region,max region
Act > int,1,611,3.75,14,38,34,,,
,,,,,,,R. Medial temporal gyrus temporo-occipital,319,3.75
,,,,,,,R. Lateral occipital cortex superior,166,3.30
,,,,,,,R. Angular gyrus,101,3.53
,2,543,3.79,73,29,44,,,
,,,,,,,L. Lateral occipital cortex inferior,200,3.49
,,,,,,,L. Medial temporal gyrus temporo-occipital,135,3.65
,,,,,,,L. Lateral occitipal cortex superior,100,3.79
,,,,,,,L. Angular gyrus,80,3.43
,,,,,,,,,
Int > act,,,,,,,No significant clusters.,,
,,,,,,,,,
,,,,,,,,,
Act > sit,1,3180,5.27,73,44,59,,,
,,,,,,,L. Supramarginal gyrust anterior,1038,5.27
,,,,,,,L. Postcentral gyrus,532,4.96
,,,,,,,L. Supramarginal gyrus posterior,295,4.65
,,,,,,,L. Superior parietallobule,258,4.04
,,,,,,,L. Parietal operculum,160,4.87
,,,,,,,L. Planum temporale,29,3.53
,2,3138,5.38,14,49,55,,,
,,,,,,,R. Supramarginal gyrus anterior,826,5.38
,,,,,,,R. Supramarginal gyrus posterior,615,4.84
,,,,,,,R. Postcentral gyrus,319,4.22
,,,,,,,R. Superior parietal lobule,240,4.56
,,,,,,,R. Parietal operculum,105,4.30
,,,,,,,R. Angular gyrus,27,3.32
,3,913,4.87,71,33,36,,,
,,,,,,,L. Lateral occipital cortex inferior,397,4.65
,,,,,,,L. Medial temporal gyrus temporo-occipital,279,4.87
,,,,,,,L. Inferior temporal gyrus temporo-occipital,23,3.48
,4,712,4.70,65,84,43,,,
,,,,,,,L. Frontal pole,540,4.70
,,,,,,,L. Medial frontal gyrus,114,3.60
,,,,,,,L. Inferior frontal gyrus parstriangularis,39,3.80
,5,706,4.45,21,83,39,,,
,,,,,,,R. Frontal pole,599,4.45
,,,,,,,R. Medial frontal gyrus,38,3.25
,,,,,,,R. Inferior frontal gyrus parstriangularis,22,3.34
,,,,,,,,,
Sit > act,1,7497,4.80,48,35,41,,,
,,,,,,,L. Lingual gyrus,1186,4.32
,,,,,,,L. Precuneous,1061,4.80
,,,,,,,R. Lingual gyrus,909,4.02
,,,,,,,R. Precuneous,762,4.77
,,,,,,,R. Intracalcarine cortex,591,4.20
