Contrast,cluster,k cluster,max cluster,x,y,z,Region,k region,max region
Act > int,1,21936,5.52,18,51,58,,,
Other,,,,,,,R. Lateral occipital cortex superior,2522,5.42
,,,,,,,L. Lateral occipital cortex inferior,1794,5.41
,,,,,,,L. Lateral occitipal cortex superior,1572,5.50
,,,,,,,R. Lateral occipital cortex inferior,1494,5.22
,,,,,,,R. Postcentral gyrus,983,5.52
,,,,,,,R. Medial temporal gyrus temporo-occipital,838,5.46
,,,,,,,R. Supramarginal gyrus anterior,833,5.52
,,,,,,,R. Superior parietal lobule,805,5.25
,,,,,,,L. Precentral gyrus,760,4.31
,,,,,,,R. Temporo-occipital fusiform,737,4.66
,,,,,,,L. Postcentral gyrus,691,4.38
,,,,,,,R. Inferior temporal gyrus temporo-occipital,554,5.27
,,,,,,,L. Temporo-occipital fusiform,527,4.68
,,,,,,,R. Supramarginal gyrus posterior,519,5.33
,,,,,,,L. Superior parietallobule,461,5.08
,,,,,,,R. Precuneous,440,4.93
,,,,,,,L. Supramarginal gyrust anterior,359,4.45
,,,,,,,R. Temporal fusiform posterior,301,3.84
,,,,,,,L. Inferior temporal gyrus temporo-occipital,287,5.32
,,,,,,,L. Occipital fusiform,278,4.70
,,,,,,,L. Precuneous,276,4.23
,,,,,,,R. Angular gyrus,271,4.66
,,,,,,,L. Occipital pole,231,4.19
,,,,,,,L. Temporal fusiform posterior,209,4.18
,,,,,,,L. Medial temporal gyrus temporo-occipital,198,5.03
,,,,,,,R. Occipital pole,114,3.70
,,,,,,,R. Occipital fusiform,100,3.84
,,,,,,,L. Medial frontal gyrus,95,4.08
,,,,,,,L. Angular gyrus,93,3.78
,,,,,,,R. Lingual gyrus,48,3.17
,,,,,,,R. Parahippocampal gyrus posterior,45,3.36
,,,,,,,L. Superior frontal gyrus,44,3.40
,,,,,,,R. Parietal operculum,35,3.53
,,,,,,,R.  Inferior temporal gyrus posterior,29,3.29
,2,2473,5.11,31,62,61,,,
,,,,,,,R. Precentral gyrus,918,4.84
,,,,,,,R. Medial frontal gyrus,378,5.07
,,,,,,,R. Superior frontal gyrus,245,4.28
,,,,,,,R. Inferior frontal gyrus parsopercularis,220,4.73
,,,,,,,,,
Int > act,1,517,3.94,65,87,41,,,
,,,,,,,L. Frontal pole,500,3.94
,,,,,,,,,
Act > sit,1,5635,5.83,57,31,60,,,
,,,,,,,L. Supramarginal gyrust anterior,1056,5.64
,,,,,,,L. Superior parietallobule,734,4.96
,,,,,,,L. Lateral occitipal cortex superior,700,5.83
,,,,,,,L. Postcentral gyrus,666,5.44
,,,,,,,L. Supramarginal gyrus posterior,550,5.10
,,,,,,,L. Parietal operculum,169,5.43
,,,,,,,L. Precuneous,163,4.31
,,,,,,,L. Angular gyrus,70,4.64
,,,,,,,L. Planum temporale,35,3.85
,2,5582,5.95,14,51,55,,,
,,,,,,,R. Supramarginal gyrus anterior,864,5.95
,,,,,,,R. Superior parietal lobule,767,5.29
,,,,,,,R. Lateral occipital cortex superior,753,4.68
,,,,,,,R. Supramarginal gyrus posterior,706,5.41
,,,,,,,R. Postcentral gyrus,551,5.39
,,,,,,,R. Angular gyrus,227,5.29
,,,,,,,R. Precuneous,133,4.27
,,,,,,,R. Parietal operculum,105,4.30
,3,1601,5.51,71,33,37,,,
,,,,,,,L. Lateral occipital cortex inferior,623,5.20
,,,,,,,L. Medial temporal gyrus temporo-occipital,326,5.51
,,,,,,,L. Inferior temporal gyrus temporo-occipital,179,4.96
,,,,,,,L. Inferior temporal gyrus posterior,32,3.20
,4,1169,5.48,66,63,51,,,
,,,,,,,L. Precentral gyrus,616,5.48
,,,,,,,L. Inferior frontal gyrus parsopercularis,257,5.15
,,,,,,,L. Medial frontal gyrus,113,4.87
,5,1107,5.60,58,63,62,,,
,,,,,,,L. Superior frontal gyrus,405,5.15
,,,,,,,L. Medial frontal gyrus,134,5.60
,,,,,,,L. Precentral gyrus,128,4.91
,6,1031,4.94,66,83,42,,,
,,,,,,,L. Frontal pole,643,4.94
,,,,,,,L. Medial frontal gyrus,298,3.79
,,,,,,,L. Inferior frontal gyrus parstriangularis,59,4.60
,7,899,5.02,17,35,34,,,
,,,,,,,R. Medial temporal gyrus temporo-occipital,386,5.02
,,,,,,,R. Lateral occipital cortex inferior,208,4.71
,,,,,,,R. Inferior temporal gyrus temporo-occipital,163,4.71
,8,891,4.45,21,83,39,,,
,,,,,,,R. Frontal pole,712,4.45
,,,,,,,R. Medial frontal gyrus,90,3.64
,,,,,,,R. Inferior frontal gyrus parstriangularis,22,3.34
,9,715,4.95,32,61,61,,,
,,,,,,,R. Superior frontal gyrus,161,4.85
,,,,,,,R. Medial frontal gyrus,148,4.66
,,,,,,,R. Precentral gyrus,142,4.30
,10,533,4.50,20,66,48,,,
,,,,,,,R. Precentral gyrus,372,4.50
,,,,,,,R. Inferior frontal gyrus parsopercularis,100,4.22
,,,,,,,,,
Sit > act,1,15189,5.56,50,16,45,,,
,,,,,,,R. Lingual gyrus,1579,4.38
,,,,,,,L. Lingual gyrus,1540,4.80
,,,,,,,L. Precuneous,1249,5.09
,,,,,,,R. Precuneous,1181,4.93
,,,,,,,L. Occipital pole,1031,5.56
,,,,,,,R. Occipital pole,936,5.50
,,,,,,,R. Intracalcarine cortex,699,4.58
,,,,,,,L. Intracalcarine cortex,659,5.08
,,,,,,,L. Posterior cingulate cortex,547,4.65
,,,,,,,L. Occipital fusiform,491,4.80
,,,,,,,R. Cuneal cortex,476,5.31
,,,,,,,R. Posterior cingulate cortex,461,4.86
,,,,,,,R. Occipital fusiform,404,4.31
,,,,,,,L. Cuneal cortex,399,4.83
,,,,,,,L. Parahippocampal gyrus posterior,223,4.54
,,,,,,,R. Temporo-occipital fusiform,210,4.38
,,,,,,,R. Lateral occipital cortex superior,191,5.05
,,,,,,,R. Parahippocampal gyrus posterior,178,4.30
,,,,,,,L. Supracalcarine cortex,152,4.59
,,,,,,,R. Supracalcarine cortex,151,4.42
,,,,,,,L. Temporo-occipital fusiform,121,4.26
,,,,,,,L. Lateral occitipal cortex superior,97,4.80
,,,,,,,L. Temporal fusiform posterior,89,4.52
,,,,,,,R. Temporal fusiform posterior,72,4.14
,2,4740,4.83,49,89,58,,,
,,,,,,,R. Frontal pole,1301,4.45
,,,,,,,L. Frontal pole,1125,4.83
,,,,,,,R. Superior frontal gyrus,523,3.80
,,,,,,,L. Superior frontal gyrus,392,4.15
,,,,,,,L. Paracingulate gyrus,123,3.69
,,,,,,,L. Frontal medial cortex,109,4.68
,,,,,,,R. Paracingulate gyrus,79,3.28
,,,,,,,R. Frontal medial cortex,47,4.19
,3,3862,5.79,74,59,29,,,
,,,,,,,L. Temporal pole,964,5.49
,,,,,,,L. Superior temporal gyrus posterior,612,5.32
,,,,,,,L. Medial temporal gyrus posterior,543,5.75
,,,,,,,L. Medial temporal gyrus anterior,430,5.79
,,,,,,,L. Orbitofrontal cortex,220,4.07
,,,,,,,L. Superior temporal gyrus anterior,196,5.48
,,,,,,,L. Inferior frontal gyrus parstriangularis,149,3.66
,,,,,,,L. Inferior frontal gyrus parsopercularis,70,3.63
,,,,,,,L. Medial temporal gyrus temporo-occipital,56,3.79
,,,,,,,L. Frontal operculum,50,3.60
,,,,,,,L. Inferior temporal gyrus anterior,45,3.57
,4,2342,5.32,17,64,26,,,
