Contrast,cluster,k cluster,max cluster,x,y,z,Region,k region,max region
Act > int,1,1406,3.83,22,34,44,,,
Self,,,,,,,R. Angular gyrus,646,3.83
,,,,,,,R. Medial temporal gyrus temporo-occipital,341,3.76
,,,,,,,R. Lateral occipital cortex superior,219,3.54
,,,,,,,R. Supramarginal gyrus posterior,97,3.78
,2,1056,4.46,70,36,41,,,
,,,,,,,L. Angular gyrus,248,4.22
,,,,,,,L. Medial temporal gyrus temporo-occipital,215,4.46
,,,,,,,L. Lateral occipital cortex inferior,213,3.94
,,,,,,,L. Lateral occitipal cortex superior,194,4.13
,3,841,4.21,32,64,58,,,
,,,,,,,R. Superior frontal gyrus,595,4.05
,,,,,,,R. Medial frontal gyrus,59,3.25
,4,624,3.95,58,67,68,,,
,,,,,,,L. Superior frontal gyrus,367,3.95
,,,,,,,L. Precentral gyrus,61,3.22
,,,,,,,L. Medial frontal gyrus,41,2.99
,,,,,,,,,
Int > act,1,1331,4.35,73,58,42,,,
,,,,,,,L. Central operculum,466,4.35
,,,,,,,L. Precentral gyrus,238,4.14
,,,,,,,L. Insula,163,3.84
,,,,,,,L. Postcentral gyrus,151,3.73
,,,,,,,L. Planum temporale,78,3.46
,,,,,,,L. Parietal operculum,69,3.49
,,,,,,,L. Planum polare,31,4.17
,2,1009,4.37,19,62,43,,,
,,,,,,,R. Central operculum,347,4.36
,,,,,,,R. Precentral gyrus,129,3.85
,,,,,,,R. Postcentral gyrus,82,3.79
,,,,,,,R. Insula,60,3.17
,,,,,,,R. Planum polare,51,3.48
,,,,,,,R. Heschls gyrus,29,3.73
,3,475,3.79,19,49,43,,,
,,,,,,,R. Parietal operculum,165,3.58
,,,,,,,R. Planum temporale,108,3.79
,,,,,,,R. Insula,100,3.24
,,,,,,,R. Heschls gyrus,60,3.32
,,,,,,,,,
,,,,,,,,,
Act > sit,1,4732,5.61,15,47,54,,,
,,,,,,,R. Supramarginal gyrus anterior,826,5.61
,,,,,,,R. Supramarginal gyrus posterior,665,5.00
,,,,,,,R. Postcentral gyrus,412,4.48
,,,,,,,R. Parietal operculum,273,5.12
,,,,,,,R. Superior parietal lobule,241,4.75
,,,,,,,R. Posterior cingulate cortex,189,4.70
,,,,,,,R. Precentral gyrus,185,4.63
,,,,,,,R. Planum temporale,126,4.00
,,,,,,,R. Superior temporal gyrus posterior,63,3.71
,,,,,,,R. Precuneous,47,4.16
,,,,,,,L. Posterior cingulate cortex,44,3.98
,,,,,,,R. Central operculum,41,3.87
,,,,,,,R. Angular gyrus,27,3.32
,2,4609,6.05,72,45,49,,,
,,,,,,,L. Supramarginal gyrust anterior,1038,5.89
,,,,,,,L. Postcentral gyrus,693,5.32
,,,,,,,L. Parietal operculum,370,6.05
,,,,,,,L. Superior parietallobule,323,4.57
,,,,,,,L. Supramarginal gyrus posterior,300,4.80
,,,,,,,L. Planum temporale,157,4.30
,,,,,,,L. Precuneous,116,4.30
,,,,,,,L. Central operculum,110,4.74
,,,,,,,L. Posterior cingulate cortex,101,4.51
,,,,,,,L. Precentral gyrus,49,4.52
,3,2389,5.25,19,65,42,,,
,,,,,,,R. Insula,460,4.87
,,,,,,,R. Precentral gyrus,429,5.24
,,,,,,,R. Central operculum,375,4.87
,,,,,,,R. Putamen,291,3.94
,,,,,,,R. Inferior frontal gyrus parsopercularis,225,4.74
,,,,,,,R. Planum polare,159,4.32
,,,,,,,R. Heschls gyrus,57,4.44
,,,,,,,R. Frontal operculum,38,3.45
,4,2268,5.33,69,66,40,,,
,,,,,,,L. Precentral gyrus,564,5.09
